hour_key,hour_label,peak_hour_flag,meal_period
0,00:00,Off-Peak,Other
1,01:00,Off-Peak,Other
2,02:00,Off-Peak,Other
3,03:00,Off-Peak,Other
4,04:00,Off-Peak,Other
5,05:00,Off-Peak,Other
6,06:00,Off-Peak,Other
7,07:00,Off-Peak,Other
8,08:00,Off-Peak,Other
9,09:00,Off-Peak,Other
10,10:00,Off-Peak,Breakfast
11,11:00,Off-Peak,Breakfast
12,12:00,Off-Peak,Lunch
13,13:00,Off-Peak,Lunch
14,14:00,Off-Peak,Lunch
15,15:00,Off-Peak,Snack
16,16:00,Off-Peak,Snack
17,17:00,Off-Peak,Dinner
18,18:00,Off-Peak,Dinner
19,19:00,Peak,Dinner
20,20:00,Peak,Dinner
21,21:00,Off-Peak,Dinner
22,22:00,Off-Peak,Other
23,23:00,Off-Peak,Other
