inventory_sk,store_id,product_id,inventory_date,opening_stock,sold_qty,closing_stock,inventory_status,date_key
S003_INV_P010,S003,P010,2026-06-03,841,129,712,Healthy,20260603
S003_INV_P007,S003,P007,2026-06-03,613,395,218,Healthy,20260603
S003_INV_P006,S003,P006,2026-06-03,931,167,764,Healthy,20260603
S003_INV_P012,S003,P012,2026-06-03,759,121,638,Healthy,20260603
S003_INV_P019,S003,P019,2026-06-03,954,51,903,Healthy,20260603
S003_INV_P004,S003,P004,2026-06-03,542,248,294,Healthy,20260603
S003_INV_P009,S003,P009,2026-06-03,511,117,394,Healthy,20260603
S003_INV_P001,S003,P001,2026-06-03,915,525,390,Healthy,20260603
S003_INV_P014,S003,P014,2026-06-03,777,85,692,Healthy,20260603
S003_INV_P016,S003,P016,2026-06-03,762,62,700,Healthy,20260603
S003_INV_P013,S003,P013,2026-06-03,772,145,627,Healthy,20260603
S003_INV_P002,S003,P002,2026-06-03,563,306,257,Healthy,20260603
S003_INV_P008,S003,P008,2026-06-03,610,211,399,Healthy,20260603
S003_INV_P011,S003,P011,2026-06-03,767,97,670,Healthy,20260603
S003_INV_P017,S003,P017,2026-06-03,681,47,634,Healthy,20260603
S003_INV_P003,S003,P003,2026-06-03,717,271,446,Healthy,20260603
S003_INV_P005,S003,P005,2026-06-03,922,204,718,Healthy,20260603
S003_INV_P015,S003,P015,2026-06-03,901,52,849,Healthy,20260603
S003_INV_P018,S003,P018,2026-06-03,794,86,708,Healthy,20260603
S003_INV_P020,S003,P020,2026-06-03,860,105,755,Healthy,20260603
S006_INV_P014,S006,P014,2026-06-03,552,115,437,Healthy,20260603
S006_INV_P015,S006,P015,2026-06-03,887,73,814,Healthy,20260603
S006_INV_P016,S006,P016,2026-06-03,717,74,643,Healthy,20260603
S006_INV_P007,S006,P007,2026-06-03,974,367,607,Healthy,20260603
S006_INV_P018,S006,P018,2026-06-03,701,81,620,Healthy,20260603
S006_INV_P003,S006,P003,2026-06-03,940,282,658,Healthy,20260603
S006_INV_P011,S006,P011,2026-06-03,834,88,746,Healthy,20260603
S006_INV_P019,S006,P019,2026-06-03,778,45,733,Healthy,20260603
S006_INV_P006,S006,P006,2026-06-03,772,164,608,Healthy,20260603
S006_INV_P008,S006,P008,2026-06-03,648,183,465,Healthy,20260603
S006_INV_P010,S006,P010,2026-06-03,749,158,591,Healthy,20260603
S006_INV_P013,S006,P013,2026-06-03,554,150,404,Healthy,20260603
S006_INV_P017,S006,P017,2026-06-03,844,44,800,Healthy,20260603
S006_INV_P002,S006,P002,2026-06-03,513,291,222,Healthy,20260603
S006_INV_P005,S006,P005,2026-06-03,516,207,309,Healthy,20260603
S006_INV_P012,S006,P012,2026-06-03,832,98,734,Healthy,20260603
S006_INV_P009,S006,P009,2026-06-03,732,121,611,Healthy,20260603
S006_INV_P020,S006,P020,2026-06-03,786,111,675,Healthy,20260603
S006_INV_P001,S006,P001,2026-06-03,574,532,42,Low Stock,20260603
S006_INV_P004,S006,P004,2026-06-03,645,246,399,Healthy,20260603
S004_INV_P003,S004,P003,2026-06-03,664,308,356,Healthy,20260603
S004_INV_P015,S004,P015,2026-06-03,872,65,807,Healthy,20260603
S004_INV_P016,S004,P016,2026-06-03,522,64,458,Healthy,20260603
S004_INV_P001,S004,P001,2026-06-03,803,553,250,Healthy,20260603
S004_INV_P009,S004,P009,2026-06-03,511,91,420,Healthy,20260603
S004_INV_P010,S004,P010,2026-06-03,720,162,558,Healthy,20260603
S004_INV_P018,S004,P018,2026-06-03,509,96,413,Healthy,20260603
S004_INV_P011,S004,P011,2026-06-03,610,90,520,Healthy,20260603
S004_INV_P013,S004,P013,2026-06-03,721,137,584,Healthy,20260603
S004_INV_P020,S004,P020,2026-06-03,521,142,379,Healthy,20260603
S004_INV_P004,S004,P004,2026-06-03,989,325,664,Healthy,20260603
S004_INV_P005,S004,P005,2026-06-03,911,179,732,Healthy,20260603
S004_INV_P007,S004,P007,2026-06-03,756,405,351,Healthy,20260603
S004_INV_P002,S004,P002,2026-06-03,980,375,605,Healthy,20260603
S004_INV_P012,S004,P012,2026-06-03,898,98,800,Healthy,20260603
S004_INV_P014,S004,P014,2026-06-03,903,98,805,Healthy,20260603
S004_INV_P019,S004,P019,2026-06-03,708,51,657,Healthy,20260603
S004_INV_P006,S004,P006,2026-06-03,744,152,592,Healthy,20260603
S004_INV_P008,S004,P008,2026-06-03,920,187,733,Healthy,20260603
S004_INV_P017,S004,P017,2026-06-03,737,46,691,Healthy,20260603
S005_INV_P004,S005,P004,2026-06-03,987,295,692,Healthy,20260603
S005_INV_P009,S005,P009,2026-06-03,655,123,532,Healthy,20260603
S005_INV_P011,S005,P011,2026-06-03,961,99,862,Healthy,20260603
S005_INV_P014,S005,P014,2026-06-03,999,116,883,Healthy,20260603
S005_INV_P016,S005,P016,2026-06-03,879,82,797,Healthy,20260603
S005_INV_P020,S005,P020,2026-06-03,980,115,865,Healthy,20260603
S005_INV_P008,S005,P008,2026-06-03,577,174,403,Healthy,20260603
S005_INV_P012,S005,P012,2026-06-03,729,110,619,Healthy,20260603
S005_INV_P017,S005,P017,2026-06-03,646,43,603,Healthy,20260603
S005_INV_P015,S005,P015,2026-06-03,811,83,728,Healthy,20260603
