order_item_sk,order_sk,order_id,store_id,customer_id,staff_id,product_id,order_date,order_hour,quantity,unit_price,line_amount,payment_mode,order_weekday,peak_hour_flag,weekend_flag,meal_period,date_key,hour_key
S004_O00001_P007,S001_O00001,O00001,S001,C0202,ST007,P007,2026-06-03,12,1,60.0,60.0,UPI,Wednesday,Off-Peak,Weekday,Lunch,20260603,12
S004_O00001_P007,S001_O00001,O00001,S001,C0202,ST007,P007,2026-06-03,12,1,60.0,60.0,UPI,Wednesday,Off-Peak,Weekday,Lunch,20260603,12
S004_O00001_P007,S001_O00001,O00001,S001,C0202,ST007,P007,2026-06-03,12,1,60.0,60.0,UPI,Wednesday,Off-Peak,Weekday,Lunch,20260603,12
S004_O00001_P007,S001_O00001,O00001,S001,C0202,ST007,P007,2026-06-03,12,1,60.0,60.0,UPI,Wednesday,Off-Peak,Weekday,Lunch,20260603,12
S004_O00001_P007,S001_O00001,O00001,S001,C0202,ST007,P007,2026-06-03,12,1,60.0,60.0,UPI,Wednesday,Off-Peak,Weekday,Lunch,20260603,12
S004_O00001_P007,S001_O00001,O00001,S001,C0202,ST007,P007,2026-06-03,12,1,60.0,60.0,UPI,Wednesday,Off-Peak,Weekday,Lunch,20260603,12
S004_O00001_P019,S001_O00001,O00001,S001,C0202,ST007,P019,2026-06-03,12,1,20.0,20.0,UPI,Wednesday,Off-Peak,Weekday,Lunch,20260603,12
S004_O00001_P019,S001_O00001,O00001,S001,C0202,ST007,P019,2026-06-03,12,1,20.0,20.0,UPI,Wednesday,Off-Peak,Weekday,Lunch,20260603,12
S004_O00001_P019,S001_O00001,O00001,S001,C0202,ST007,P019,2026-06-03,12,1,20.0,20.0,UPI,Wednesday,Off-Peak,Weekday,Lunch,20260603,12
S004_O00001_P019,S001_O00001,O00001,S001,C0202,ST007,P019,2026-06-03,12,1,20.0,20.0,UPI,Wednesday,Off-Peak,Weekday,Lunch,20260603,12
S004_O00001_P019,S001_O00001,O00001,S001,C0202,ST007,P019,2026-06-03,12,1,20.0,20.0,UPI,Wednesday,Off-Peak,Weekday,Lunch,20260603,12
