staff_id,customer_id,batch_id,ingestion_timestamp,order_id,order_status,order_timestamp,payment_mode,source_file,store_id,order_sk,order_date,order_hour,order_month,order_day,order_weekday,week_of_year,quarter,financial_year,peak_hour_flag,weekend_flag,meal_period,silver_processed_at
ST011,C0414,20260603,2026-06-03T17:39:04.695883,O00006,Completed,2026-06-03 17:16:48.100000+00:00,UPI,orders_S002_20260603.json,S002,S002_O00006,2026-06-03,17,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Dinner,2026-06-03T17:41:50.872Z
ST012,C0256,20260603,2026-06-03T17:39:04.695883,O00007,Completed,2026-06-03 13:27:05.100000+00:00,UPI,orders_S002_20260603.json,S002,S002_O00007,2026-06-03,13,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Lunch,2026-06-03T17:41:50.872Z
ST009,C0025,20260603,2026-06-03T17:39:04.695883,O00009,Completed,2026-06-03 17:22:51.100000+00:00,UPI,orders_S002_20260603.json,S002,S002_O00009,2026-06-03,17,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Dinner,2026-06-03T17:41:50.872Z
ST011,C0045,20260603,2026-06-03T17:39:04.695883,O00011,Completed,2026-06-03 17:39:15.100000+00:00,UPI,orders_S002_20260603.json,S002,S002_O00011,2026-06-03,17,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Dinner,2026-06-03T17:41:50.872Z
ST007,C0017,20260603,2026-06-03T17:39:04.695883,O00012,Completed,2026-06-03 11:47:16.100000+00:00,UPI,orders_S002_20260603.json,S002,S002_O00012,2026-06-03,11,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Breakfast,2026-06-03T17:41:50.872Z
ST013,C0414,20260603,2026-06-03T17:39:04.695883,O00013,Completed,2026-06-03 11:31:48.100000+00:00,Cash,orders_S002_20260603.json,S002,S002_O00013,2026-06-03,11,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Breakfast,2026-06-03T17:41:50.872Z
ST012,C0059,20260603,2026-06-03T17:39:04.695883,O00016,Completed,2026-06-03 14:37:59.100000+00:00,UPI,orders_S002_20260603.json,S002,S002_O00016,2026-06-03,14,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Lunch,2026-06-03T17:41:50.872Z
ST011,C0089,20260603,2026-06-03T17:39:04.695883,O00018,Completed,2026-06-03 13:26:12.100000+00:00,Cash,orders_S002_20260603.json,S002,S002_O00018,2026-06-03,13,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Lunch,2026-06-03T17:41:50.872Z
ST012,C0336,20260603,2026-06-03T17:39:04.695883,O00021,Completed,2026-06-03 16:53:08.100000+00:00,UPI,orders_S002_20260603.json,S002,S002_O00021,2026-06-03,16,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Snack,2026-06-03T17:41:50.872Z
ST003,C0066,20260603,2026-06-03T17:39:04.695883,O00022,Completed,2026-06-03 14:26:06.100000+00:00,Cash,orders_S002_20260603.json,S002,S002_O00022,2026-06-03,14,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Lunch,2026-06-03T17:41:50.872Z
ST014,C0354,20260603,2026-06-03T17:39:04.695883,O00026,Completed,2026-06-03 16:30:13.100000+00:00,Cash,orders_S002_20260603.json,S002,S002_O00026,2026-06-03,16,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Snack,2026-06-03T17:41:50.872Z
ST011,C0136,20260603,2026-06-03T17:39:04.695883,O00027,Completed,2026-06-03 17:28:16.100000+00:00,UPI,orders_S002_20260603.json,S002,S002_O00027,2026-06-03,17,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Dinner,2026-06-03T17:41:50.872Z
ST013,C0142,20260603,2026-06-03T17:39:04.695883,O00028,Completed,2026-06-03 16:12:21.100000+00:00,Cash,orders_S002_20260603.json,S002,S002_O00028,2026-06-03,16,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Snack,2026-06-03T17:41:50.872Z
ST012,C0277,20260603,2026-06-03T17:39:04.695883,O00030,Completed,2026-06-03 13:00:21.100000+00:00,UPI,orders_S002_20260603.json,S002,S002_O00030,2026-06-03,13,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Lunch,2026-06-03T17:41:50.872Z
ST004,C0019,20260603,2026-06-03T17:39:04.695883,O00032,Completed,2026-06-03 10:55:59.100000+00:00,UPI,orders_S002_20260603.json,S002,S002_O00032,2026-06-03,10,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Breakfast,2026-06-03T17:41:50.872Z
ST003,C0267,20260603,2026-06-03T17:39:04.695883,O00033,Completed,2026-06-03 13:46:16.100000+00:00,Card,orders_S002_20260603.json,S002,S002_O00033,2026-06-03,13,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Lunch,2026-06-03T17:41:50.872Z
ST011,C0395,20260603,2026-06-03T17:39:04.695883,O00037,Completed,2026-06-03 12:20:44.100000+00:00,Card,orders_S002_20260603.json,S002,S002_O00037,2026-06-03,12,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Lunch,2026-06-03T17:41:50.872Z
ST006,C0015,20260603,2026-06-03T17:39:04.695883,O00041,Completed,2026-06-03 13:27:02.100000+00:00,Card,orders_S002_20260603.json,S002,S002_O00041,2026-06-03,13,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Lunch,2026-06-03T17:41:50.872Z
ST003,C0034,20260603,2026-06-03T17:39:04.695883,O00044,Completed,2026-06-03 17:12:40.100000+00:00,Cash,orders_S002_20260603.json,S002,S002_O00044,2026-06-03,17,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Dinner,2026-06-03T17:41:50.872Z
ST002,C0050,20260603,2026-06-03T17:39:04.695883,O00048,Completed,2026-06-03 17:20:37.100000+00:00,Cash,orders_S002_20260603.json,S002,S002_O00048,2026-06-03,17,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Dinner,2026-06-03T17:41:50.872Z
ST004,C0385,20260603,2026-06-03T17:39:04.695883,O00053,Completed,2026-06-03 13:22:01.100000+00:00,UPI,orders_S002_20260603.json,S002,S002_O00053,2026-06-03,13,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Lunch,2026-06-03T17:41:50.872Z
ST009,C0051,20260603,2026-06-03T17:39:04.695883,O00054,Completed,2026-06-03 12:56:19.100000+00:00,Card,orders_S002_20260603.json,S002,S002_O00054,2026-06-03,12,6,3,Wednesday,23,2,2026-2027,Off-Peak,Weekday,Lunch,2026-06-03T17:41:50.872Z
